     Time                caller                       callee          
 324.127411      inaro.wallpaper-2281     => surfaceflinger           
 324.143738      inaro.wallpaper-2281     => surfaceflinger           
 324.154236      inaro.wallpaper-2281     => surfaceflinger           
 324.169037      inaro.wallpaper-2281     => surfaceflinger           
 324.179779      inaro.wallpaper-2281     => surfaceflinger           
 324.192047      inaro.wallpaper-2281     => surfaceflinger           
 324.202576      inaro.wallpaper-2281     => surfaceflinger           
 324.214813      inaro.wallpaper-2281     => surfaceflinger           
 324.225494      inaro.wallpaper-2281     => surfaceflinger           
 324.238708      inaro.wallpaper-2281     => surfaceflinger           
 324.249237      inaro.wallpaper-2281     => surfaceflinger           
 324.278442      inaro.wallpaper-2281     => surfaceflinger           
 324.289185      inaro.wallpaper-2281     => surfaceflinger           
 324.306976      inaro.wallpaper-2281     => surfaceflinger           
 324.317780      inaro.wallpaper-2281     => surfaceflinger           
 324.333740      inaro.wallpaper-2281     => surfaceflinger           
 324.344574      inaro.wallpaper-2281     => surfaceflinger           
 324.362335      inaro.wallpaper-2281     => surfaceflinger           
 324.373138      inaro.wallpaper-2281     => surfaceflinger           
 324.390961      inaro.wallpaper-2281     => surfaceflinger           
 324.401794      inaro.wallpaper-2281     => surfaceflinger           
 324.422485      inaro.wallpaper-2281     => surfaceflinger           
 324.433289      inaro.wallpaper-2281     => surfaceflinger           
 324.453888      inaro.wallpaper-2281     => surfaceflinger           
 324.464783      inaro.wallpaper-2281     => surfaceflinger           
 324.483154      inaro.wallpaper-2281     => surfaceflinger           
 324.494049      inaro.wallpaper-2281     => surfaceflinger           
 324.511688      inaro.wallpaper-2281     => surfaceflinger           
 324.522644      inaro.wallpaper-2281     => surfaceflinger           
 324.535583      inaro.wallpaper-2281     => surfaceflinger           
 324.546600      inaro.wallpaper-2281     => surfaceflinger           
 324.564392      inaro.wallpaper-2281     => surfaceflinger           
 324.575378      inaro.wallpaper-2281     => surfaceflinger           
 324.589081      inaro.wallpaper-2281     => surfaceflinger           
 324.599518      inaro.wallpaper-2281     => surfaceflinger           
 324.615234      inaro.wallpaper-2281     => surfaceflinger           
 324.625702      inaro.wallpaper-2281     => surfaceflinger           
 324.641357      inaro.wallpaper-2281     => surfaceflinger           
 324.651764      inaro.wallpaper-2281     => surfaceflinger           
 324.670837      inaro.wallpaper-2281     => surfaceflinger           
 324.681244      inaro.wallpaper-2281     => surfaceflinger           
 324.694916      inaro.wallpaper-2281     => surfaceflinger           
 324.705780      inaro.wallpaper-2281     => surfaceflinger           
 324.721802      inaro.wallpaper-2281     => surfaceflinger           
 324.732697      inaro.wallpaper-2281     => surfaceflinger           
 324.748383      inaro.wallpaper-2281     => surfaceflinger           
 324.759247      inaro.wallpaper-2281     => surfaceflinger           
 324.774963      inaro.wallpaper-2281     => surfaceflinger           
 324.785339      inaro.wallpaper-2281     => surfaceflinger           
 324.801514      inaro.wallpaper-2281     => surfaceflinger           
 324.811951      inaro.wallpaper-2281     => surfaceflinger           
 324.827667      inaro.wallpaper-2281     => surfaceflinger           
 324.838135      inaro.wallpaper-2281     => surfaceflinger           
 324.853851      inaro.wallpaper-2281     => surfaceflinger           
 324.864197      inaro.wallpaper-2281     => surfaceflinger           
 324.883514      inaro.wallpaper-2281     => surfaceflinger           
 324.893890      inaro.wallpaper-2281     => surfaceflinger           
 324.912964      inaro.wallpaper-2281     => surfaceflinger           
 324.923401      inaro.wallpaper-2281     => surfaceflinger           
 324.939056      inaro.wallpaper-2281     => surfaceflinger           
 324.950073      inaro.wallpaper-2281     => surfaceflinger           
 324.967834      inaro.wallpaper-2281     => surfaceflinger           
 324.978912      inaro.wallpaper-2281     => surfaceflinger           
 324.996613      inaro.wallpaper-2281     => surfaceflinger           
 325.007904      inaro.wallpaper-2281     => surfaceflinger           
 325.032654      inaro.wallpaper-2281     => surfaceflinger           
 325.043640      inaro.wallpaper-2281     => surfaceflinger           
 326.085175      inaro.wallpaper-2281     => surfaceflinger           
 326.095520      inaro.wallpaper-2281     => surfaceflinger           
 326.116150      inaro.wallpaper-2281     => surfaceflinger           
 326.126617      inaro.wallpaper-2281     => surfaceflinger           
 326.139862      inaro.wallpaper-2281     => surfaceflinger           
 326.150055      inaro.wallpaper-2281     => surfaceflinger           
 326.167664      inaro.wallpaper-2281     => surfaceflinger           
 326.178009      inaro.wallpaper-2281     => surfaceflinger           
 326.195801      inaro.wallpaper-2281     => surfaceflinger           
 326.206116      inaro.wallpaper-2281     => surfaceflinger           
 326.223877      inaro.wallpaper-2281     => surfaceflinger           
 326.234344      inaro.wallpaper-2281     => surfaceflinger           
 326.250275      inaro.wallpaper-2281     => surfaceflinger           
 326.260712      inaro.wallpaper-2281     => surfaceflinger           
 326.278534      inaro.wallpaper-2281     => surfaceflinger           
 326.289062      inaro.wallpaper-2281     => surfaceflinger           
 326.306763      inaro.wallpaper-2281     => surfaceflinger           
 326.317261      inaro.wallpaper-2281     => surfaceflinger           
 326.342865      inaro.wallpaper-2281     => surfaceflinger           
 326.353485      inaro.wallpaper-2281     => surfaceflinger           
 326.371246      inaro.wallpaper-2281     => surfaceflinger           
 326.382050      inaro.wallpaper-2281     => surfaceflinger           
 326.399750      inaro.wallpaper-2281     => surfaceflinger           
 326.410431      inaro.wallpaper-2281     => surfaceflinger           
 326.426025      inaro.wallpaper-2281     => surfaceflinger           
 326.436798      inaro.wallpaper-2281     => surfaceflinger           
 326.454681      inaro.wallpaper-2281     => surfaceflinger           
 326.465302      inaro.wallpaper-2281     => surfaceflinger           
 326.483032      inaro.wallpaper-2281     => surfaceflinger           
 326.493805      inaro.wallpaper-2281     => surfaceflinger           
 326.511536      inaro.wallpaper-2281     => surfaceflinger           
 326.522430      inaro.wallpaper-2281     => surfaceflinger           
 326.538177      inaro.wallpaper-2281     => surfaceflinger           
 326.549164      inaro.wallpaper-2281     => surfaceflinger           
 326.564453      inaro.wallpaper-2281     => surfaceflinger           
 326.575348      inaro.wallpaper-2281     => surfaceflinger           
 326.593109      inaro.wallpaper-2281     => surfaceflinger           
 326.604034      inaro.wallpaper-2281     => surfaceflinger           
 326.626648      inaro.wallpaper-2281     => surfaceflinger           
 326.637512      inaro.wallpaper-2281     => surfaceflinger           
 326.654907      inaro.wallpaper-2281     => surfaceflinger           
 326.665283      inaro.wallpaper-2281     => surfaceflinger           
 326.681061      inaro.wallpaper-2281     => surfaceflinger           
 326.691620      inaro.wallpaper-2281     => surfaceflinger           
 326.710724      inaro.wallpaper-2281     => surfaceflinger           
 326.721344      inaro.wallpaper-2281     => surfaceflinger           
 326.737152      inaro.wallpaper-2281     => surfaceflinger           
 326.747894      inaro.wallpaper-2281     => surfaceflinger           
 326.763580      inaro.wallpaper-2281     => surfaceflinger           
 326.774445      inaro.wallpaper-2281     => surfaceflinger           
 326.790466      inaro.wallpaper-2281     => surfaceflinger           
 326.801056      inaro.wallpaper-2281     => surfaceflinger           
 326.817413      inaro.wallpaper-2281     => surfaceflinger           
 326.827850      inaro.wallpaper-2281     => surfaceflinger           
 326.843445      inaro.wallpaper-2281     => surfaceflinger           
 326.854065      inaro.wallpaper-2281     => surfaceflinger           
 326.870026      inaro.wallpaper-2281     => surfaceflinger           
 326.880463      inaro.wallpaper-2281     => surfaceflinger           
 326.896118      inaro.wallpaper-2281     => surfaceflinger           
 326.906677      inaro.wallpaper-2281     => surfaceflinger           
 326.922424      inaro.wallpaper-2281     => surfaceflinger           
 326.932831      inaro.wallpaper-2281     => surfaceflinger           
 326.949249      inaro.wallpaper-2281     => surfaceflinger           
 326.959686      inaro.wallpaper-2281     => surfaceflinger           
 326.972839      inaro.wallpaper-2281     => surfaceflinger           
 326.983276      inaro.wallpaper-2281     => surfaceflinger           
 327.000153      inaro.wallpaper-2281     => surfaceflinger           
 327.010620      inaro.wallpaper-2281     => surfaceflinger           
 327.027069      inaro.wallpaper-2281     => surfaceflinger           
 327.037750      inaro.wallpaper-2281     => surfaceflinger           
 327.053070      inaro.wallpaper-2281     => surfaceflinger           
 327.063934      inaro.wallpaper-2281     => surfaceflinger           
 327.079712      inaro.wallpaper-2281     => surfaceflinger           
 327.090454      inaro.wallpaper-2281     => surfaceflinger           
 327.109375      inaro.wallpaper-2281     => surfaceflinger           
 327.119873      inaro.wallpaper-2281     => surfaceflinger           
 327.135712      inaro.wallpaper-2281     => surfaceflinger           
 327.146271      inaro.wallpaper-2281     => surfaceflinger           
 327.161957      inaro.wallpaper-2281     => surfaceflinger           
 327.172546      inaro.wallpaper-2281     => surfaceflinger           
 328.249725      inaro.wallpaper-2281     => surfaceflinger           
 328.259491      inaro.wallpaper-2281     => surfaceflinger           
 328.274872      inaro.wallpaper-2281     => surfaceflinger           
 328.284607      inaro.wallpaper-2281     => surfaceflinger           
 328.303741      inaro.wallpaper-2281     => surfaceflinger           
 328.313507      inaro.wallpaper-2281     => surfaceflinger           
 328.329163      inaro.wallpaper-2281     => surfaceflinger           
 328.339050      inaro.wallpaper-2281     => surfaceflinger           
 328.355621      inaro.wallpaper-2281     => surfaceflinger           
 328.365387      inaro.wallpaper-2281     => surfaceflinger           
 328.377167      inaro.wallpaper-2281     => surfaceflinger           
 328.387024      inaro.wallpaper-2281     => surfaceflinger           
 328.406250      inaro.wallpaper-2281     => surfaceflinger           
 328.416199      inaro.wallpaper-2281     => surfaceflinger           
 328.432129      inaro.wallpaper-2281     => surfaceflinger           
 328.442047      inaro.wallpaper-2281     => surfaceflinger           
 328.461182      inaro.wallpaper-2281     => surfaceflinger           
 328.471130      inaro.wallpaper-2281     => surfaceflinger           
 328.486816      inaro.wallpaper-2281     => surfaceflinger           
 328.497101      inaro.wallpaper-2281     => surfaceflinger           
 328.516449      inaro.wallpaper-2281     => surfaceflinger           
 328.526489      inaro.wallpaper-2281     => surfaceflinger           
 328.542816      inaro.wallpaper-2281     => surfaceflinger           
 328.552795      inaro.wallpaper-2281     => surfaceflinger           
 328.568665      inaro.wallpaper-2281     => surfaceflinger           
 328.578827      inaro.wallpaper-2281     => surfaceflinger           
 328.594543      inaro.wallpaper-2281     => surfaceflinger           
 328.604614      inaro.wallpaper-2281     => surfaceflinger           
 328.621338      inaro.wallpaper-2281     => surfaceflinger           
 328.631470      inaro.wallpaper-2281     => surfaceflinger           
 328.647125      inaro.wallpaper-2281     => surfaceflinger           
 328.657379      inaro.wallpaper-2281     => surfaceflinger           
 328.673187      inaro.wallpaper-2281     => surfaceflinger           
 328.683441      inaro.wallpaper-2281     => surfaceflinger           
 328.702545      inaro.wallpaper-2281     => surfaceflinger           
 328.712952      inaro.wallpaper-2281     => surfaceflinger           
 328.728821      inaro.wallpaper-2281     => surfaceflinger           
 328.739563      inaro.wallpaper-2281     => surfaceflinger           
 328.755493      inaro.wallpaper-2281     => surfaceflinger           
 328.765839      inaro.wallpaper-2281     => surfaceflinger           
 328.781647      inaro.wallpaper-2281     => surfaceflinger           
 328.791962      inaro.wallpaper-2281     => surfaceflinger           
 328.808533      inaro.wallpaper-2281     => surfaceflinger           
 328.819000      inaro.wallpaper-2281     => surfaceflinger           
 328.834778      inaro.wallpaper-2281     => surfaceflinger           
 328.845276      inaro.wallpaper-2281     => surfaceflinger           
 328.858948      inaro.wallpaper-2281     => surfaceflinger           
 328.869415      inaro.wallpaper-2281     => surfaceflinger           
 328.885193      inaro.wallpaper-2281     => surfaceflinger           
 328.895691      inaro.wallpaper-2281     => surfaceflinger           
 328.911835      inaro.wallpaper-2281     => surfaceflinger           
 328.922272      inaro.wallpaper-2281     => surfaceflinger           
 328.936096      inaro.wallpaper-2281     => surfaceflinger           
 328.946564      inaro.wallpaper-2281     => surfaceflinger           
 328.962219      inaro.wallpaper-2281     => surfaceflinger           
 328.972687      inaro.wallpaper-2281     => surfaceflinger           
 328.991943      inaro.wallpaper-2281     => surfaceflinger           
 329.002686      inaro.wallpaper-2281     => surfaceflinger           
 329.019104      inaro.wallpaper-2281     => surfaceflinger           
 329.030182      inaro.wallpaper-2281     => surfaceflinger           
 329.045959      inaro.wallpaper-2281     => surfaceflinger           
 329.056793      inaro.wallpaper-2281     => surfaceflinger           
 329.072510      inaro.wallpaper-2281     => surfaceflinger           
 329.082886      inaro.wallpaper-2281     => surfaceflinger           
 329.098938      inaro.wallpaper-2281     => surfaceflinger           
 329.109741      inaro.wallpaper-2281     => surfaceflinger           
 329.121155      inaro.wallpaper-2281     => surfaceflinger           
 329.132782      inaro.wallpaper-2281     => surfaceflinger           
 329.145111      inaro.wallpaper-2281     => surfaceflinger           
 329.155914      inaro.wallpaper-2281     => surfaceflinger           
 329.167877      inaro.wallpaper-2281     => surfaceflinger           
 329.178680      inaro.wallpaper-2281     => surfaceflinger           
 329.191895      inaro.wallpaper-2281     => surfaceflinger           
 329.202301      inaro.wallpaper-2281     => surfaceflinger           
